"date","home_team","result","away_team","attendance","referee","place"
1991-03-16,"AGF","1-2","Brøndby IF","6600","Svend Erik Christensen","Århus Stadion"
1991-03-16,"Ikast FS","1-0","Lyngby BK","2270","Kim Milton Nielsen","Ikast Stadion"
1991-03-16,"AaB","1-1","Vejle BK","6700","Peter Mikkelsen","Aalborg Stadion"
1991-03-16,"B 1903","1-1","Silkeborg IF","1302","Arne Paltoft","Gentofte Stadion"
1991-03-16,"BK Frem","3-0","OB","3434","Ove Hust","Valby Idrætspark"
1991-03-16,"Silkeborg IF","1-1","AaB","3741","Kim Milton Nielsen","Silkeborg Stadion"
1991-03-16,"OB","0-0","AGF","3607","Carl Laursen","Odense Stadion"
1991-03-16,"Lyngby BK","4-1","B 1903","3024","Jan Damgaard","Lyngby Stadion"
1991-03-16,"Vejle BK","1-2","BK Frem","2618","Kaj Østergaard","Vejle Stadion"
1991-03-16,"Brøndby IF","2-1","Ikast FS","4419","John P. Nielsen","Brøndby Stadion"
1991-03-16,"Ikast FS","1-1","AGF","2900","Peter Mikkelsen","Ikast Stadion"
1991-03-16,"BK Frem","2-2","Silkeborg IF","3745","Arne Hansen","Valby Idrætspark"
1991-03-16,"B 1903","0-1","Brøndby IF","5575","Henning Lund-Sørensen","Gentofte Stadion"
1991-03-16,"Vejle BK","0-0","OB","2970","Svend Erik Christensen","Vejle Stadion"
1991-03-16,"AaB","1-2","Lyngby BK","7100","Arne Paltoft","Aalborg Stadion"
1991-03-16,"Brøndby IF","2-2","AaB","3141","Carl Laursen","Brøndby Stadion"
1991-03-16,"Silkeborg IF","0-0","Vejle BK","3056","Ove Hust","Silkeborg Stadion"
1991-03-16,"AGF","2-1","B 1903","3700","Kaj Østergaard","Århus Stadion"
1991-03-16,"OB","3-0","Ikast FS","2618","Kim Milton Nielsen","Odense Stadion"
1991-03-16,"Lyngby BK","1-1","BK Frem","5751","John P. Nielsen","Lyngby Stadion"
1991-03-16,"AaB","4-1","AGF","9700","Jan Damgaard","Aalborg Stadion"
1991-03-16,"Silkeborg IF","2-2","OB","3025","Finn Lambek","Silkeborg Stadion"
1991-03-16,"B 1903","0-0","Ikast FS","799","Svend Erik Christensen","Gentofte Stadion"
1991-03-16,"Vejle BK","0-2","Lyngby BK","2520","Kim Milton Nielsen","Vejle Stadion"
1991-03-16,"BK Frem","1-1","Brøndby IF","11529","Peter Mikkelsen","Valby Idrætspark"
1991-03-16,"Brøndby IF","3-1","Vejle BK","2855","Arne Paltoft","Brøndby Stadion"
1991-03-16,"OB","0-0","B 1903","3040","John P. Nielsen","Odense Stadion"
1991-03-16,"Ikast FS","0-0","AaB","3014","Kaj Østergaard","Ikast Stadion"
